Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
26/10/2010;17:53:00;0.460;0.252;248.650;2.000;0.000;1.000;0.000
26/10/2010;17:54:00;0.438;0.246;248.620;2.000;0.000;2.000;1.000
26/10/2010;17:55:00;0.456;0.254;248.640;2.000;0.000;1.000;1.000
26/10/2010;17:56:00;0.434;0.244;247.940;2.000;0.000;1.000;0.000
26/10/2010;17:57:00;0.450;0.248;247.670;2.000;0.000;2.000;1.000
26/10/2010;17:58:00;0.432;0.244;248.270;2.000;0.000;1.000;1.000
26/10/2010;17:59:00;0.450;0.254;248.620;2.000;0.000;1.000;1.000
26/10/2010;18:00:00;0.432;0.250;249.010;2.000;0.000;2.000;0.000
26/10/2010;18:01:00;0.450;0.256;248.930;2.000;0.000;1.000;1.000
26/10/2010;18:02:00;0.428;0.246;248.170;2.000;0.000;1.000;1.000
26/10/2010;18:03:00;0.448;0.252;248.110;2.000;0.000;2.000;0.000
26/10/2010;18:04:00;0.352;0.130;248.400;1.400;0.000;1.000;1.000
26/10/2010;18:05:00;0.352;0.108;248.790;1.400;0.000;2.000;1.000
26/10/2010;18:06:00;0.332;0.102;248.820;1.400;0.000;1.000;0.000
26/10/2010;18:07:00;0.354;0.112;249.610;1.400;0.000;1.000;1.000
26/10/2010;18:08:00;0.334;0.106;249.550;1.400;0.000;1.000;1.000
26/10/2010;18:09:00;0.350;0.106;248.290;1.400;0.000;2.000;0.000
26/10/2010;18:10:00;0.332;0.100;248.290;1.400;0.000;1.000;1.000
26/10/2010;18:11:00;0.430;0.196;248.190;2.000;0.000;2.000;1.000
26/10/2010;18:12:00;0.414;0.212;248.090;1.800;0.000;1.000;0.000
26/10/2010;18:13:00;0.422;0.216;248.090;1.800;0.000;1.000;1.000
26/10/2010;18:14:00;0.428;0.220;248.510;2.000;0.000;1.000;1.000
26/10/2010;18:15:00;0.408;0.210;247.840;1.800;0.000;2.000;1.000
26/10/2010;18:16:00;0.422;0.210;246.640;1.800;0.000;1.000;0.000
26/10/2010;18:17:00;0.404;0.206;247.040;1.800;0.000;1.000;1.000
26/10/2010;18:18:00;0.392;0.158;247.740;1.800;0.000;2.000;1.000
26/10/2010;18:19:00;0.266;0.000;248.030;1.000;0.000;0.000;0.000
26/10/2010;18:20:00;0.278;0.000;247.320;1.200;0.000;0.000;1.000
26/10/2010;18:21:00;0.260;0.000;247.360;1.000;0.000;0.000;1.000
26/10/2010;18:22:00;0.280;0.000;247.640;1.200;0.000;0.000;0.000
26/10/2010;18:23:00;0.296;0.000;247.510;1.200;0.000;0.000;1.000
26/10/2010;18:24:00;0.390;0.118;247.240;1.600;0.000;0.000;1.000
26/10/2010;18:25:00;0.370;0.112;247.520;1.600;0.000;0.000;0.000
26/10/2010;18:26:00;0.386;0.120;247.800;1.600;0.000;1.000;1.000
26/10/2010;18:27:00;0.366;0.112;247.210;1.600;0.000;0.000;1.000
26/10/2010;18:28:00;0.388;0.116;246.780;1.600;0.000;0.000;0.000
26/10/2010;18:29:00;0.366;0.108;246.050;1.600;0.000;0.000;1.000
26/10/2010;18:30:00;0.382;0.114;246.110;1.600;0.000;0.000;1.000
26/10/2010;18:31:00;0.356;0.108;246.130;1.400;0.000;0.000;0.000
26/10/2010;18:32:00;0.374;0.114;246.050;1.600;0.000;1.000;1.000
26/10/2010;18:33:00;0.354;0.106;245.600;1.400;0.000;0.000;1.000
26/10/2010;18:34:00;0.372;0.114;246.140;1.600;0.000;0.000;0.000
26/10/2010;18:35:00;0.352;0.106;245.330;1.400;0.000;0.000;1.000
26/10/2010;18:36:00;0.332;0.056;244.390;1.400;0.000;0.000;1.000
26/10/2010;18:37:00;0.252;0.000;243.760;1.000;0.000;0.000;0.000
26/10/2010;18:38:00;0.272;0.000;243.800;1.200;0.000;1.000;1.000
26/10/2010;18:39:00;0.254;0.000;244.390;1.000;0.000;0.000;1.000
26/10/2010;18:40:00;0.272;0.000;244.380;1.200;0.000;0.000;0.000
26/10/2010;18:41:00;0.254;0.000;243.930;1.000;0.000;0.000;1.000
26/10/2010;18:42:00;0.272;0.000;243.140;1.200;0.000;0.000;1.000
26/10/2010;18:43:00;0.266;0.000;242.060;1.200;0.000;0.000;0.000
26/10/2010;18:44:00;0.268;0.000;242.690;1.000;0.000;1.000;1.000
26/10/2010;18:45:00;0.276;0.000;243.040;1.200;0.000;0.000;1.000
26/10/2010;18:46:00;0.258;0.000;242.850;1.000;0.000;0.000;0.000
26/10/2010;18:47:00;0.276;0.000;242.370;1.200;0.000;0.000;1.000
26/10/2010;18:48:00;0.254;0.000;241.510;1.000;0.000;0.000;1.000
26/10/2010;18:49:00;0.362;0.062;240.840;1.600;0.000;0.000;0.000
26/10/2010;18:50:00;0.322;0.058;240.710;1.400;0.000;0.000;1.000
26/10/2010;18:51:00;0.346;0.068;242.280;1.400;0.000;1.000;1.000
26/10/2010;18:52:00;0.330;0.068;244.150;1.400;0.000;0.000;0.000
26/10/2010;18:53:00;0.348;0.072;243.640;1.400;0.000;0.000;1.000
26/10/2010;18:54:00;0.328;0.066;243.270;1.400;0.000;0.000;1.000
26/10/2010;18:55:00;0.342;0.066;241.910;1.400;0.000;0.000;0.000
26/10/2010;18:56:00;0.394;0.132;241.690;1.800;0.000;0.000;1.000
26/10/2010;18:57:00;0.380;0.098;242.020;1.600;0.000;1.000;1.000
26/10/2010;18:58:00;0.364;0.096;242.980;1.600;0.000;0.000;0.000
26/10/2010;18:59:00;0.382;0.102;243.400;1.600;0.000;0.000;1.000
26/10/2010;19:00:00;0.362;0.096;243.330;1.400;0.000;0.000;1.000
26/10/2010;19:01:00;0.376;0.100;242.620;1.600;0.000;0.000;0.000
26/10/2010;19:02:00;0.354;0.092;241.760;1.400;0.000;0.000;1.000
26/10/2010;19:03:00;0.370;0.094;241.130;1.600;0.000;1.000;1.000
26/10/2010;19:04:00;0.350;0.088;240.780;1.400;0.000;0.000;0.000
26/10/2010;19:05:00;0.370;0.096;241.730;1.600;0.000;0.000;1.000
26/10/2010;19:06:00;0.348;0.090;241.700;1.400;0.000;0.000;0.000
26/10/2010;19:07:00;0.360;0.094;241.070;1.600;0.000;0.000;1.000
26/10/2010;19:08:00;0.342;0.088;240.980;1.400;0.000;0.000;1.000
26/10/2010;19:09:00;0.272;0.000;241.290;1.200;0.000;1.000;0.000
26/10/2010;19:10:00;0.246;0.000;240.840;1.000;0.000;0.000;1.000
26/10/2010;19:11:00;0.266;0.000;240.880;1.200;0.000;0.000;1.000
26/10/2010;19:12:00;0.250;0.000;242.020;1.000;0.000;0.000;0.000
26/10/2010;19:13:00;0.256;0.000;242.500;1.000;0.000;0.000;1.000
26/10/2010;19:14:00;0.258;0.000;243.040;1.000;0.000;0.000;1.000
26/10/2010;19:15:00;0.256;0.000;242.520;1.000;0.000;0.000;0.000
26/10/2010;19:16:00;0.256;0.000;242.300;1.000;0.000;0.000;1.000
26/10/2010;19:17:00;0.254;0.000;241.670;1.000;0.000;0.000;1.000
26/10/2010;19:18:00;0.256;0.000;242.280;1.000;0.000;0.000;0.000
26/10/2010;19:19:00;0.256;0.000;242.980;1.000;0.000;0.000;1.000
26/10/2010;19:20:00;0.258;0.000;243.230;1.000;0.000;0.000;1.000
26/10/2010;19:21:00;0.258;0.000;243.430;1.000;0.000;0.000;0.000
26/10/2010;19:22:00;0.250;0.000;242.540;1.000;0.000;0.000;1.000
26/10/2010;19:23:00;0.250;0.000;242.470;1.000;0.000;0.000;1.000
26/10/2010;19:24:00;0.248;0.000;241.580;1.000;0.000;0.000;0.000
26/10/2010;19:25:00;0.248;0.000;242.330;1.000;0.000;0.000;1.000
26/10/2010;19:26:00;0.278;0.000;242.150;1.400;0.000;0.000;1.000
26/10/2010;19:27:00;0.328;0.060;241.710;1.400;0.000;0.000;0.000
26/10/2010;19:28:00;0.366;0.086;241.730;1.600;0.000;0.000;1.000
26/10/2010;19:29:00;0.440;0.188;240.290;2.000;0.000;0.000;1.000
26/10/2010;19:30:00;0.434;0.184;239.310;2.000;0.000;0.000;0.000
26/10/2010;19:31:00;0.428;0.182;238.980;1.800;0.000;0.000;1.000
26/10/2010;19:32:00;0.424;0.186;239.700;1.800;0.000;0.000;0.000
26/10/2010;19:33:00;0.418;0.188;240.430;1.800;0.000;0.000;1.000
26/10/2010;19:34:00;0.368;0.116;240.580;1.600;0.000;0.000;1.000
26/10/2010;19:35:00;0.344;0.086;240.590;1.400;0.000;0.000;0.000
26/10/2010;19:36:00;0.344;0.088;240.990;1.400;0.000;0.000;1.000
26/10/2010;19:37:00;0.344;0.088;241.310;1.400;0.000;0.000;1.000
26/10/2010;19:38:00;0.342;0.086;240.870;1.400;0.000;0.000;0.000
26/10/2010;19:39:00;0.344;0.088;241.320;1.400;0.000;0.000;1.000
26/10/2010;19:40:00;0.342;0.086;240.740;1.400;0.000;0.000;1.000
26/10/2010;19:41:00;0.306;0.000;241.210;1.200;0.000;0.000;0.000
26/10/2010;19:42:00;0.250;0.000;241.470;1.000;0.000;0.000;1.000
26/10/2010;19:43:00;0.256;0.000;241.750;1.000;0.000;0.000;1.000
26/10/2010;19:44:00;0.256;0.000;242.650;1.000;0.000;0.000;0.000
26/10/2010;19:45:00;0.256;0.000;242.570;1.000;0.000;0.000;1.000
26/10/2010;19:46:00;0.256;0.000;242.800;1.000;0.000;0.000;1.000
26/10/2010;19:47:00;0.256;0.000;242.730;1.000;0.000;0.000;0.000
26/10/2010;19:48:00;0.252;0.000;242.830;1.000;0.000;0.000;1.000
26/10/2010;19:49:00;0.250;0.000;242.610;1.000;0.000;0.000;1.000
26/10/2010;19:50:00;0.248;0.000;242.490;1.000;0.000;0.000;0.000
26/10/2010;19:51:00;0.250;0.000;242.490;1.000;0.000;0.000;1.000
26/10/2010;19:52:00;0.250;0.000;242.800;1.000;0.000;0.000;0.000
26/10/2010;19:53:00;0.250;0.000;242.830;1.000;0.000;0.000;1.000
26/10/2010;19:54:00;0.250;0.000;243.050;1.000;0.000;0.000;1.000
26/10/2010;19:55:00;0.250;0.000;242.790;1.000;0.000;0.000;0.000
26/10/2010;19:56:00;0.248;0.000;242.000;1.000;0.000;0.000;1.000
26/10/2010;19:57:00;0.250;0.000;241.900;1.000;0.000;0.000;1.000
26/10/2010;19:58:00;0.256;0.000;242.170;1.000;0.000;0.000;0.000
26/10/2010;19:59:00;0.256;0.000;242.750;1.000;0.000;0.000;1.000
26/10/2010;20:00:00;0.258;0.000;243.880;1.000;0.000;0.000;1.000
26/10/2010;20:01:00;0.354;0.066;243.570;1.600;0.000;0.000;0.000
26/10/2010;20:02:00;0.362;0.096;243.760;1.400;0.000;0.000;1.000
26/10/2010;20:03:00;0.400;0.132;243.310;1.800;0.000;0.000;1.000
26/10/2010;20:04:00;0.434;0.202;243.660;2.000;0.000;0.000;0.000
26/10/2010;20:05:00;0.432;0.204;244.030;2.000;0.000;0.000;1.000
26/10/2010;20:06:00;0.430;0.204;243.990;1.800;0.000;0.000;1.000
26/10/2010;20:07:00;0.432;0.208;244.990;1.800;0.000;0.000;0.000
26/10/2010;20:08:00;0.430;0.208;244.940;1.800;0.000;0.000;1.000
26/10/2010;20:09:00;0.426;0.206;244.550;1.800;0.000;0.000;1.000
26/10/2010;20:10:00;0.422;0.202;243.480;1.800;0.000;0.000;0.000
26/10/2010;20:11:00;0.378;0.138;242.530;1.600;0.000;0.000;1.000
26/10/2010;20:12:00;0.346;0.090;242.080;1.400;0.000;0.000;1.000
26/10/2010;20:13:00;0.354;0.096;243.380;1.400;0.000;0.000;0.000
26/10/2010;20:14:00;0.262;0.000;244.480;1.000;0.000;0.000;1.000
26/10/2010;20:15:00;0.256;0.000;245.680;1.000;0.000;0.000;1.000
26/10/2010;20:16:00;0.256;0.000;245.900;1.000;0.000;0.000;0.000
26/10/2010;20:17:00;0.256;0.000;245.550;1.000;0.000;0.000;1.000
26/10/2010;20:18:00;0.256;0.000;245.550;1.000;0.000;0.000;1.000
26/10/2010;20:19:00;0.254;0.000;245.170;1.000;0.000;0.000;0.000
26/10/2010;20:20:00;1.236;0.046;245.170;5.200;0.000;0.000;16.000
26/10/2010;20:21:00;1.396;0.050;244.230;5.600;0.000;0.000;19.000
26/10/2010;20:22:00;1.370;0.052;243.300;5.600;0.000;0.000;20.000
26/10/2010;20:23:00;1.362;0.052;243.500;5.600;0.000;0.000;19.000
26/10/2010;20:24:00;1.354;0.052;243.330;5.400;0.000;0.000;19.000
26/10/2010;20:25:00;1.350;0.052;243.260;5.400;0.000;0.000;18.000
26/10/2010;20:26:00;1.348;0.054;243.180;5.400;0.000;0.000;19.000
26/10/2010;20:27:00;1.360;0.050;244.370;5.400;0.000;0.000;19.000
26/10/2010;20:28:00;1.364;0.050;244.900;5.400;0.000;0.000;19.000
26/10/2010;20:29:00;1.360;0.050;244.510;5.400;0.000;0.000;19.000
26/10/2010;20:30:00;1.346;0.052;243.260;5.400;0.000;0.000;19.000
26/10/2010;20:31:00;1.344;0.054;243.170;5.400;0.000;0.000;19.000
26/10/2010;20:32:00;1.350;0.052;243.660;5.400;0.000;0.000;19.000
26/10/2010;20:33:00;1.422;0.000;243.020;5.800;0.000;0.000;19.000
26/10/2010;20:34:00;1.454;0.082;243.250;6.000;0.000;0.000;18.000
26/10/2010;20:35:00;1.450;0.082;243.280;5.800;0.000;0.000;19.000
26/10/2010;20:36:00;1.448;0.084;243.230;5.800;0.000;0.000;19.000
26/10/2010;20:37:00;1.438;0.080;242.580;5.800;0.000;0.000;19.000
26/10/2010;20:38:00;1.432;0.080;242.170;5.800;0.000;0.000;18.000
26/10/2010;20:39:00;1.430;0.078;241.970;5.800;0.000;0.000;19.000
26/10/2010;20:40:00;1.478;0.124;241.980;6.000;0.000;0.000;18.000
26/10/2010;20:41:00;1.504;0.184;242.110;6.200;0.000;0.000;19.000
26/10/2010;20:42:00;1.508;0.184;242.400;6.200;0.000;0.000;19.000
26/10/2010;20:43:00;1.514;0.188;243.040;6.200;0.000;0.000;18.000
26/10/2010;20:44:00;1.504;0.184;242.320;6.200;0.000;0.000;19.000
26/10/2010;20:45:00;1.502;0.184;242.220;6.200;0.000;0.000;19.000
26/10/2010;20:46:00;1.424;0.068;242.630;5.800;0.000;0.000;18.000
26/10/2010;20:47:00;1.414;0.052;243.100;5.800;0.000;0.000;19.000
26/10/2010;20:48:00;1.382;0.000;244.590;5.600;0.000;0.000;19.000
26/10/2010;20:49:00;1.362;0.048;244.890;5.400;0.000;0.000;19.000
26/10/2010;20:50:00;1.366;0.046;245.350;5.400;0.000;0.000;19.000
26/10/2010;20:51:00;1.360;0.048;244.700;5.400;0.000;0.000;19.000
26/10/2010;20:52:00;1.348;0.050;243.610;5.400;0.000;0.000;19.000
26/10/2010;20:53:00;1.344;0.052;243.260;5.400;0.000;0.000;19.000
26/10/2010;20:54:00;1.350;0.050;243.740;5.400;0.000;0.000;19.000
26/10/2010;20:55:00;1.362;0.048;244.920;5.400;0.000;0.000;19.000
26/10/2010;20:56:00;1.360;0.048;244.800;5.400;0.000;0.000;19.000
26/10/2010;20:57:00;1.346;0.052;243.380;5.400;0.000;0.000;18.000
26/10/2010;20:58:00;0.518;0.000;243.810;2.800;0.000;0.000;7.000
26/10/2010;20:59:00;0.254;0.000;244.230;1.000;0.000;0.000;1.000
26/10/2010;21:00:00;0.254;0.000;244.300;1.000;0.000;0.000;0.000
26/10/2010;21:01:00;0.256;0.000;245.190;1.000;0.000;0.000;1.000
26/10/2010;21:02:00;0.256;0.000;245.730;1.000;0.000;0.000;1.000
26/10/2010;21:03:00;0.258;0.000;246.660;1.000;0.000;0.000;0.000
26/10/2010;21:04:00;0.252;0.000;243.030;1.000;0.000;0.000;1.000
26/10/2010;21:05:00;0.284;0.000;241.170;1.200;0.000;0.000;1.000
26/10/2010;21:06:00;0.358;0.090;240.770;1.400;0.000;0.000;0.000
26/10/2010;21:07:00;0.352;0.086;239.900;1.400;0.000;0.000;1.000
26/10/2010;21:08:00;0.352;0.088;240.590;1.400;0.000;0.000;1.000
26/10/2010;21:09:00;0.352;0.092;241.520;1.400;0.000;0.000;0.000
26/10/2010;21:10:00;0.352;0.094;242.030;1.400;0.000;0.000;1.000
26/10/2010;21:11:00;0.350;0.094;241.880;1.400;0.000;0.000;1.000
26/10/2010;21:12:00;0.348;0.092;241.120;1.400;0.000;0.000;0.000
26/10/2010;21:13:00;0.344;0.088;240.350;1.400;0.000;0.000;1.000
26/10/2010;21:14:00;0.344;0.090;240.940;1.400;0.000;0.000;1.000
26/10/2010;21:15:00;0.346;0.092;241.560;1.400;0.000;0.000;0.000
26/10/2010;21:16:00;0.344;0.092;241.530;1.400;0.000;0.000;1.000
26/10/2010;21:17:00;0.378;0.116;241.390;1.800;0.000;0.000;0.000
26/10/2010;21:18:00;0.374;0.128;241.060;1.600;0.000;0.000;1.000
26/10/2010;21:19:00;0.326;0.062;241.110;1.400;0.000;0.000;1.000
26/10/2010;21:20:00;0.328;0.066;242.330;1.400;0.000;0.000;0.000
26/10/2010;21:21:00;0.328;0.066;242.660;1.400;0.000;0.000;1.000
26/10/2010;21:22:00;0.354;0.084;243.090;1.600;0.000;0.000;1.000
26/10/2010;21:23:00;0.408;0.192;243.080;1.800;0.000;1.000;0.000
26/10/2010;21:24:00;0.408;0.190;242.650;1.800;0.000;1.000;1.000
26/10/2010;21:25:00;0.356;0.118;241.640;1.600;0.000;1.000;1.000
26/10/2010;21:26:00;0.332;0.082;242.100;1.400;0.000;2.000;0.000
26/10/2010;21:27:00;0.338;0.088;243.890;1.400;0.000;1.000;1.000
26/10/2010;21:28:00;0.348;0.092;245.050;1.400;0.000;1.000;1.000
26/10/2010;21:29:00;0.348;0.094;245.460;1.400;0.000;2.000;0.000
26/10/2010;21:30:00;0.348;0.092;244.870;1.400;0.000;1.000;1.000
26/10/2010;21:31:00;0.346;0.090;244.290;1.400;0.000;2.000;1.000
26/10/2010;21:32:00;0.346;0.088;244.090;1.400;0.000;1.000;0.000
